Record No,Programme code,Study Year,Academic Year,Course,Course Type
R60,10001,1,2018-2019,1178,elective
R61,10001,1,2018-2019,1168,elective
R62,10001,1,2018-2019,1078,elective
R63,10001,1,2018-2019,1027,elective
R64,10001,1,2019-2020,1157,compulsory
R65,10001,1,2019-2020,1244,compulsory-elective
R66,10001,1,2019-2020,1183,compulsory-elective
R67,10001,1,2019-2020,1108,compulsory-elective
R68,10001,1,2019-2020,1267,elective
R69,10001,1,2019-2020,1250,elective
R70,10001,1,2019-2020,1246,elective
R71,10001,1,2019-2020,1135,elective
R72,10001,1,2019-2020,1099,elective
R73,10001,1,2020-2021,1284,compulsory
R74,10001,1,2020-2021,1239,compulsory
R75,10001,1,2020-2021,1155,compulsory
R76,10001,1,2020-2021,1130,compulsory
R77,10001,1,2020-2021,1278,elective
R78,10001,1,2020-2021,1204,elective
R79,10001,1,2020-2021,1092,elective
R80,10001,1,2020-2021,1060,elective
R81,10001,1,2021-2022,1203,compulsory
R82,10001,1,2021-2022,1086,compulsory
R83,10001,1,2021-2022,1180,compulsory-elective
R84,10001,1,2021-2022,1167,compulsory-elective
R85,10001,1,2021-2022,1136,compulsory-elective
R86,10001,1,2021-2022,1048,compulsory-elective
R87,10001,1,2021-2022,1194,elective
R88,10001,1,2021-2022,1079,elective
R89,10001,1,2021-2022,1054,elective
R90,10001,1,2021-2022,1043,elective
R91,10001,1,2021-2022,1006,elective
R92,10001,1,2022-2023,1263,compulsory
R93,10001,1,2022-2023,1282,compulsory-elective
R94,10001,1,2022-2023,1170,compulsory-elective
R95,10001,1,2022-2023,1098,compulsory-elective
R96,10001,1,2022-2023,1005,compulsory-elective
R97,10001,1,2022-2023,1255,elective
R98,10001,1,2022-2023,1222,elective
R99,10001,1,2022-2023,1178,elective
R100,10001,1,2022-2023,1088,elective
R101,10001,1,2022-2023,1070,elective
R102,10001,1,2022-2023,1067,elective
R103,10001,1,2023-2024,1014,compulsory
R104,10001,1,2023-2024,1299,compulsory-elective
R105,10001,1,2023-2024,1296,compulsory-elective
R106,10001,1,2023-2024,1132,compulsory-elective
R107,10001,1,2023-2024,1046,compulsory-elective
R108,10001,1,2023-2024,1289,compulsory-elective
R109,10001,1,2023-2024,1223,compulsory-elective
R110,10001,1,2023-2024,1137,compulsory-elective
R111,10001,1,2023-2024,1082,compulsory-elective
R112,10001,2,2013-2014,1265,compulsory
R113,10001,2,2013-2014,1213,compulsory-elective
R114,10001,2,2013-2014,1085,compulsory-elective
R115,10001,2,2013-2014,1075,compulsory-elective
R116,10001,2,2013-2014,1272,elective
R117,10001,2,2013-2014,1139,elective
R118,10001,2,2013-2014,1101,elective
R119,10001,2,2013-2014,1098,elective
R120,10001,2,2013-2014,1083,elective
R121,10001,2,2014-2015,1185,compulsory
R122,10001,2,2014-2015,1271,compulsory-elective
R123,10001,2,2014-2015,1258,compulsory-elective
R124,10001,2,2014-2015,1073,compulsory-elective
R125,10001,2,2014-2015,1065,compulsory-elective
R126,10001,2,2014-2015,1218,compulsory-elective
R127,10001,2,2014-2015,1208,compulsory-elective
R128,10001,2,2014-2015,1100,compulsory-elective
R129,10001,2,2014-2015,1090,compulsory-elective
R130,10001,2,2015-2016,1221,compulsory
R131,10001,2,2015-2016,1073,compulsory
R132,10001,2,2015-2016,1230,compulsory
R133,10001,2,2015-2016,1208,compulsory
R134,10001,2,2015-2016,1201,elective
R135,10001,2,2015-2016,1199,elective
R136,10001,2,2015-2016,1144,elective
R137,10001,2,2015-2016,1086,elective
R138,10001,2,2015-2016,1040,elective
R139,10001,2,2015-2016,1011,elective
R140,10001,2,2016-2017,1258,compulsory
R141,10001,2,2016-2017,1284,compulsory-elective
R142,10001,2,2016-2017,1094,compulsory-elective
R143,10001,2,2016-2017,1008,compulsory-elective
R144,10001,2,2016-2017,1250,elective
R145,10001,2,2016-2017,1197,elective
R146,10001,2,2016-2017,1176,elective
R147,10001,2,2016-2017,1011,elective
R148,10001,2,2017-2018,1240,compulsory
R149,10001,2,2017-2018,1194,compulsory
R150,10001,2,2017-2018,1208,compulsory-elective
R151,10001,2,2017-2018,1158,compulsory-elective
R152,10001,2,2017-2018,1133,compulsory-elective
R153,10001,2,2017-2018,1060,compulsory-elective
R154,10001,2,2017-2018,1257,elective
R155,10001,2,2017-2018,1201,elective
R156,10001,2,2017-2018,1169,elective
R157,10001,2,2017-2018,1081,elective
R158,10001,2,2017-2018,1066,elective
R159,10001,2,2017-2018,1021,elective
R160,10001,2,2018-2019,1276,compulsory
R161,10001,2,2018-2019,1129,compulsory
R162,10001,2,2018-2019,1117,compulsory-elective
R163,10001,2,2018-2019,1116,compulsory-elective
R164,10001,2,2018-2019,1048,compulsory-elective
R165,10001,2,2018-2019,1248,elective
R166,10001,2,2018-2019,1235,elective
R167,10001,2,2018-2019,1204,elective
R168,10001,2,2018-2019,1153,elective
R169,10001,2,2018-2019,1076,elective
R170,10001,2,2019-2020,1108,compulsory
R171,10001,2,2019-2020,1077,compulsory-elective
R172,10001,2,2019-2020,1024,compulsory-elective
R173,10001,2,2019-2020,1014,compulsory-elective
R174,10001,2,2019-2020,1234,elective
R175,10001,2,2019-2020,1224,elective
R176,10001,2,2019-2020,1202,elective
R177,10001,2,2019-2020,1200,elective
R178,10001,2,2019-2020,1025,elective
R179,10001,2,2020-2021,1048,compulsory
R180,10001,2,2020-2021,1196,compulsory-elective
R181,10001,2,2020-2021,1194,compulsory-elective
R182,10001,2,2020-2021,1107,compulsory-elective
R183,10001,2,2020-2021,1096,compulsory-elective
R184,10001,2,2020-2021,1258,elective
R185,10001,2,2020-2021,1182,elective
R186,10001,2,2020-2021,1158,elective
R187,10001,2,2020-2021,1130,elective
R188,10001,2,2020-2021,1064,elective
R189,10001,2,2021-2022,1142,compulsory
R190,10001,2,2021-2022,1287,compulsory-elective
R191,10001,2,2021-2022,1206,compulsory-elective
R192,10001,2,2021-2022,1236,elective
R193,10001,2,2021-2022,1178,elective
R194,10001,2,2021-2022,1029,elective
R195,10001,2,2021-2022,1024,elective
R196,10001,2,2021-2022,1007,elective
R197,10001,2,2022-2023,1286,compulsory
R198,10001,2,2022-2023,1187,compulsory
R199,10001,2,2022-2023,1222,compulsory
R200,10001,2,2022-2023,1040,compulsory
R201,10001,2,2022-2023,1275,elective
R202,10001,2,2022-2023,1210,elective
R203,10001,2,2022-2023,1194,elective
R204,10001,2,2022-2023,1191,elective
R205,10001,2,2022-2023,1037,elective
R206,10001,2,2022-2023,1017,elective
R207,10001,2,2023-2024,1163,compulsory
R208,10001,2,2023-2024,1146,compulsory
R209,10001,2,2023-2024,1035,compulsory-elective
R210,10001,2,2023-2024,1010,compulsory-elective
R211,10001,2,2023-2024,1011,compulsory-elective
R212,10001,2,2023-2024,1294,elective
R213,10001,2,2023-2024,1283,elective
R214,10001,2,2023-2024,1184,elective
R215,10001,2,2023-2024,1180,elective
R216,10001,3,2013-2014,1236,compulsory
R217,10001,3,2013-2014,1093,compulsory
R218,10001,3,2013-2014,1255,compulsory-elective
R219,10001,3,2013-2014,1235,compulsory-elective
R220,10001,3,2013-2014,1140,compulsory-elective
R221,10001,3,2013-2014,1266,elective
R222,10001,3,2013-2014,1160,elective
R223,10001,3,2013-2014,1135,elective
R224,10001,3,2013-2014,1100,elective
R225,10001,3,2013-2014,1037,elective
R226,10001,3,2013-2014,1034,elective
R227,10001,3,2014-2015,1255,compulsory
R228,10001,3,2014-2015,1033,compulsory-elective
R229,10001,3,2014-2015,1023,compulsory-elective
R230,10001,3,2014-2015,1220,elective
R231,10001,3,2014-2015,1149,elective
R232,10001,3,2014-2015,1098,elective
R233,10001,3,2014-2015,1076,elective
R234,10001,3,2014-2015,1032,elective
R235,10001,3,2015-2016,1168,compulsory
R236,10001,3,2015-2016,1149,compulsory-elective
R237,10001,3,2015-2016,1146,compulsory-elective
R238,10001,3,2015-2016,1103,compulsory-elective
R239,10001,3,2015-2016,1008,compulsory-elective
R240,10001,3,2015-2016,1233,elective
R241,10001,3,2015-2016,1205,elective
R242,10001,3,2015-2016,1190,elective
R243,10001,3,2015-2016,1067,elective
R244,10001,3,2015-2016,1049,elective
R245,10001,3,2015-2016,1009,elective
R246,10001,3,2016-2017,1128,compulsory
R247,10001,3,2016-2017,1222,compulsory-elective
R248,10001,3,2016-2017,1122,compulsory-elective
R249,10001,3,2016-2017,1120,compulsory-elective
R250,10001,3,2016-2017,1273,elective
R251,10001,3,2016-2017,1182,elective
R252,10001,3,2016-2017,1150,elective
R253,10001,3,2016-2017,1052,elective
R254,10001,3,2017-2018,1248,compulsory
R255,10001,3,2017-2018,1221,compulsory
R256,10001,3,2017-2018,1048,compulsory
R257,10001,3,2017-2018,1025,compulsory
R258,10001,3,2017-2018,1238,elective
R259,10001,3,2017-2018,1211,elective
R260,10001,3,2017-2018,1117,elective
R261,10001,3,2017-2018,1072,elective
R262,10001,3,2018-2019,1013,compulsory
R263,10001,3,2018-2019,1273,compulsory-elective
R264,10001,3,2018-2019,1230,compulsory-elective
R265,10001,3,2018-2019,1079,compulsory-elective
R266,10001,3,2018-2019,1237,elective
R267,10001,3,2018-2019,1205,elective
R268,10001,3,2018-2019,1197,elective
R269,10001,3,2018-2019,1185,elective
R270,10001,3,2018-2019,1058,elective
R271,10001,3,2018-2019,1043,elective
R272,10001,3,2019-2020,1049,compulsory
R273,10001,3,2019-2020,1205,compulsory-elective
R274,10001,3,2019-2020,1152,compulsory-elective
R275,10001,3,2019-2020,1055,compulsory-elective
R276,10001,3,2019-2020,1292,elective
R277,10001,3,2019-2020,1189,elective
R278,10001,3,2019-2020,1170,elective
R279,10001,3,2019-2020,1118,elective
R280,10001,3,2019-2020,1090,elective
R281,10001,3,2019-2020,1073,elective
R282,10001,3,2020-2021,1077,compulsory
R283,10001,3,2020-2021,1213,compulsory-elective
R284,10001,3,2020-2021,1199,compulsory-elective
R285,10001,3,2020-2021,1049,compulsory-elective
R286,10001,3,2020-2021,1222,elective
R287,10001,3,2020-2021,1192,elective
R288,10001,3,2020-2021,1164,elective
R289,10001,3,2020-2021,1113,elective
R290,10001,3,2020-2021,1031,elective
R291,10001,3,2021-2022,1276,compulsory
R292,10001,3,2021-2022,1207,compulsory-elective
R293,10001,3,2021-2022,1118,compulsory-elective
R294,10001,3,2021-2022,1217,elective
R295,10001,3,2021-2022,1162,elective
R296,10001,3,2021-2022,1072,elective
R297,10001,3,2021-2022,1064,elective
R298,10001,3,2022-2023,1184,compulsory
R299,10001,3,2022-2023,1218,compulsory-elective
R300,10001,3,2022-2023,1066,compulsory-elective
R301,10001,3,2022-2023,1272,elective
R302,10001,3,2022-2023,1190,elective
R303,10001,3,2022-2023,1131,elective
R304,10001,3,2022-2023,1125,elective
R305,10001,3,2022-2023,1046,elective
R306,10001,3,2023-2024,1070,compulsory
R307,10001,3,2023-2024,1009,compulsory
R308,10001,3,2023-2024,1290,compulsory-elective
R309,10001,3,2023-2024,1173,compulsory-elective
R310,10001,3,2023-2024,1004,compulsory-elective
R311,10001,3,2023-2024,1296,elective
R312,10001,3,2023-2024,1240,elective
R313,10001,3,2023-2024,1160,elective
R314,10001,3,2023-2024,1158,elective
R315,10001,3,2023-2024,1115,elective
R316,10001,3,2023-2024,1022,elective
R317,10011,1,2013-2014,1162,compulsory
R318,10011,1,2013-2014,1240,compulsory-elective
R319,10011,1,2013-2014,1101,compulsory-elective
R320,10011,1,2013-2014,1093,compulsory-elective
R321,10011,1,2013-2014,1262,elective
R322,10011,1,2013-2014,1208,elective
R323,10011,1,2013-2014,1199,elective
R324,10011,1,2013-2014,1083,elective
R325,10011,1,2014-2015,1121,compulsory
R326,10011,1,2014-2015,1211,compulsory-elective
R327,10011,1,2014-2015,1171,compulsory-elective
R328,10011,1,2014-2015,1267,elective
R329,10011,1,2014-2015,1263,elective
R330,10011,1,2014-2015,1160,elective
R331,10011,1,2014-2015,1108,elective
R332,10011,1,2014-2015,1087,elective
R333,10011,1,2014-2015,1083,elective
R334,10011,1,2015-2016,1178,compulsory
R335,10011,1,2015-2016,1218,compulsory-elective
R336,10011,1,2015-2016,1200,compulsory-elective
R337,10011,1,2015-2016,1107,compulsory-elective
R338,10011,1,2015-2016,1047,compulsory-elective
R339,10011,1,2015-2016,1293,compulsory-elective
R340,10011,1,2015-2016,1263,compulsory-elective
R341,10011,1,2015-2016,1262,compulsory-elective
R342,10011,1,2015-2016,1106,compulsory-elective
R343,10011,1,2016-2017,1291,compulsory
R344,10011,1,2016-2017,1028,compulsory
R345,10011,1,2016-2017,1265,compulsory-elective
R346,10011,1,2016-2017,1224,compulsory-elective
R347,10011,1,2016-2017,1209,compulsory-elective
R348,10011,1,2016-2017,1059,compulsory-elective
R349,10011,1,2016-2017,1283,compulsory-elective
R350,10011,1,2016-2017,1258,compulsory-elective
R351,10011,1,2016-2017,1115,compulsory-elective
R352,10011,1,2016-2017,1031,compulsory-elective
R353,10011,1,2017-2018,1295,compulsory
R354,10011,1,2017-2018,1031,compulsory
R355,10011,1,2017-2018,1297,compulsory-elective
R356,10011,1,2017-2018,1271,compulsory-elective
R357,10011,1,2017-2018,1084,compulsory-elective
R358,10011,1,2017-2018,1253,elective
R359,10011,1,2017-2018,1166,elective
R360,10011,1,2017-2018,1155,elective
R361,10011,1,2017-2018,1088,elective
R362,10011,1,2017-2018,1077,elective
R363,10011,1,2018-2019,1104,compulsory
R364,10011,1,2018-2019,1040,compulsory
R365,10011,1,2018-2019,1256,compulsory-elective
R366,10011,1,2018-2019,1233,compulsory-elective
R367,10011,1,2018-2019,1184,compulsory-elective
R368,10011,1,2018-2019,1253,elective
R369,10011,1,2018-2019,1189,elective
R370,10011,1,2018-2019,1092,elective
R371,10011,1,2018-2019,1015,elective
R372,10011,1,2018-2019,1006,elective
R373,10011,1,2019-2020,1224,compulsory
R374,10011,1,2019-2020,1193,compulsory
R375,10011,1,2019-2020,1142,compulsory
R376,10011,1,2019-2020,1022,compulsory
R377,10011,1,2019-2020,1289,elective
R378,10011,1,2019-2020,1274,elective
R379,10011,1,2019-2020,1152,elective
R380,10011,1,2019-2020,1145,elective
R381,10011,1,2019-2020,1136,elective
R382,10011,1,2019-2020,1127,elective
R383,10011,1,2020-2021,1218,compulsory
R384,10011,1,2020-2021,1186,compulsory
R385,10011,1,2020-2021,1228,compulsory-elective
R386,10011,1,2020-2021,1151,compulsory-elective
R387,10011,1,2020-2021,1109,compulsory-elective
R388,10011,1,2020-2021,1094,compulsory-elective
R389,10011,1,2020-2021,1264,elective
R390,10011,1,2020-2021,1137,elective
R391,10011,1,2020-2021,1105,elective
R392,10011,1,2020-2021,1063,elective
R393,10011,1,2020-2021,1047,elective
R394,10011,1,2020-2021,1045,elective
R395,10011,1,2021-2022,1224,compulsory
R396,10011,1,2021-2022,1055,compulsory
R397,10011,1,2021-2022,1236,compulsory-elective
R398,10011,1,2021-2022,1166,compulsory-elective
R399,10011,1,2021-2022,1047,compulsory-elective
R400,10011,1,2021-2022,1249,elective
R401,10011,1,2021-2022,1149,elective
R402,10011,1,2021-2022,1073,elective
R403,10011,1,2021-2022,1045,elective
R404,10011,1,2022-2023,1110,compulsory
R405,10011,1,2022-2023,1251,compulsory-elective
R406,10011,1,2022-2023,1234,compulsory-elective
R407,10011,1,2022-2023,1102,compulsory-elective
R408,10011,1,2022-2023,1049,compulsory-elective
R409,10011,1,2022-2023,1242,elective
R410,10011,1,2022-2023,1116,elective
R411,10011,1,2022-2023,1087,elective
R412,10011,1,2022-2023,1070,elective
R413,10011,1,2022-2023,1069,elective
R414,10011,1,2023-2024,1257,compulsory
R415,10011,1,2023-2024,1232,compulsory
R416,10011,1,2023-2024,1114,compulsory
R417,10011,1,2023-2024,1076,compulsory
R418,10011,1,2023-2024,1278,elective
R419,10011,1,2023-2024,1261,elective
R420,10011,1,2023-2024,1127,elective
R421,10011,1,2023-2024,1126,elective
R422,10011,1,2023-2024,1099,elective
R423,10011,2,2013-2014,1236,compulsory
R424,10011,2,2013-2014,1233,compulsory-elective
R425,10011,2,2013-2014,1183,compulsory-elective
R426,10011,2,2013-2014,1112,compulsory-elective
R427,10011,2,2013-2014,1083,compulsory-elective
R428,10011,2,2013-2014,1296,elective
R429,10011,2,2013-2014,1248,elective
R430,10011,2,2013-2014,1149,elective
R431,10011,2,2013-2014,1066,elective
R432,10011,2,2013-2014,1035,elective
R433,10011,2,2014-2015,1155,compulsory
R434,10011,2,2014-2015,1100,compulsory
R435,10011,2,2014-2015,1050,compulsory
R436,10011,2,2014-2015,1044,compulsory
R437,10011,2,2014-2015,1288,elective
R438,10011,2,2014-2015,1257,elective
R439,10011,2,2014-2015,1113,elective
R440,10011,2,2014-2015,1009,elective
R441,10011,2,2015-2016,1269,compulsory
R442,10011,2,2015-2016,1138,compulsory
R443,10011,2,2015-2016,1251,compulsory
R444,10011,2,2015-2016,1242,compulsory
R445,10011,2,2015-2016,1293,elective
R446,10011,2,2015-2016,1248,elective
R447,10011,2,2015-2016,1198,elective
R448,10011,2,2015-2016,1170,elective
R449,10011,2,2015-2016,1143,elective
R450,10011,2,2015-2016,1121,elective
R451,10011,2,2016-2017,1131,compulsory
R452,10011,2,2016-2017,1294,compulsory-elective
R453,10011,2,2016-2017,1218,compulsory-elective
R454,10011,2,2016-2017,1138,compulsory-elective
R455,10011,2,2016-2017,1080,compulsory-elective
R456,10011,2,2016-2017,1281,compulsory-elective
R457,10011,2,2016-2017,1247,compulsory-elective
R458,10011,2,2016-2017,1146,compulsory-elective
R459,10011,2,2016-2017,1119,compulsory-elective
R460,10011,2,2017-2018,1240,compulsory
R461,10011,2,2017-2018,1192,compulsory
R462,10011,2,2017-2018,1252,compulsory-elective
R463,10011,2,2017-2018,1230,compulsory-elective
R464,10011,2,2017-2018,1221,compulsory-elective
R465,10011,2,2017-2018,1010,compulsory-elective
R466,10011,2,2017-2018,1284,elective
R467,10011,2,2017-2018,1203,elective
R468,10011,2,2017-2018,1170,elective
R469,10011,2,2017-2018,1145,elective
R470,10011,2,2017-2018,1131,elective
R471,10011,2,2017-2018,1046,elective
R472,10011,2,2018-2019,1185,compulsory
R473,10011,2,2018-2019,1090,compulsory-elective
R474,10011,2,2018-2019,1082,compulsory-elective
R475,10011,2,2018-2019,1290,elective
R476,10011,2,2018-2019,1291,elective
R477,10011,2,2018-2019,1267,elective
R478,10011,2,2018-2019,1182,elective
R479,10011,2,2018-2019,1044,elective
R480,10011,2,2018-2019,1030,elective
R481,10011,2,2019-2020,1236,compulsory
R482,10011,2,2019-2020,1062,compulsory
R483,10011,2,2019-2020,1260,compulsory-elective
R484,10011,2,2019-2020,1168,compulsory-elective
R485,10011,2,2019-2020,1089,compulsory-elective
R486,10011,2,2019-2020,1080,compulsory-elective
R487,10011,2,2019-2020,1299,elective
R488,10011,2,2019-2020,1291,elective
R489,10011,2,2019-2020,1286,elective
R490,10011,2,2019-2020,1156,elective
R491,10011,2,2019-2020,1144,elective
R492,10011,2,2019-2020,1015,elective
R493,10011,2,2020-2021,1218,compulsory
R494,10011,2,2020-2021,1135,compulsory
R495,10011,2,2020-2021,1240,compulsory
R496,10011,2,2020-2021,1089,compulsory
R497,10011,2,2020-2021,1285,elective
R498,10011,2,2020-2021,1264,elective
R499,10011,2,2020-2021,1217,elective
R500,10011,2,2020-2021,1199,elective
R501,10011,2,2020-2021,1167,elective
R502,10011,2,2020-2021,1057,elective
R503,10011,2,2021-2022,1210,compulsory
R504,10011,2,2021-2022,1296,compulsory-elective
R505,10011,2,2021-2022,1282,compulsory-elective
R506,10011,2,2021-2022,1175,compulsory-elective
R507,10011,2,2021-2022,1118,compulsory-elective
R508,10011,2,2021-2022,1278,elective
R509,10011,2,2021-2022,1133,elective
R510,10011,2,2021-2022,1098,elective
R511,10011,2,2021-2022,1081,elective
R512,10011,2,2021-2022,1057,elective
R513,10011,2,2022-2023,1242,compulsory
R514,10011,2,2022-2023,1167,compulsory
R515,10011,2,2022-2023,1202,compulsory
R516,10011,2,2022-2023,1148,compulsory
R517,10011,2,2022-2023,1239,elective
R518,10011,2,2022-2023,1122,elective
R519,10011,2,2022-2023,1060,elective
R520,10011,2,2022-2023,1022,elective
R521,10011,2,2022-2023,1020,elective
R522,10011,2,2023-2024,1222,compulsory
R523,10011,2,2023-2024,1251,compulsory-elective
R524,10011,2,2023-2024,1191,compulsory-elective
R525,10011,2,2023-2024,1022,compulsory-elective
R526,10011,2,2023-2024,1188,elective
R527,10011,2,2023-2024,1155,elective
R528,10011,2,2023-2024,1048,elective
R529,10011,2,2023-2024,1004,elective
R530,10011,3,2013-2014,1203,compulsory
R531,10011,3,2013-2014,1174,compulsory
R532,10011,3,2013-2014,1268,compulsory-elective
R533,10011,3,2013-2014,1176,compulsory-elective
R534,10011,3,2013-2014,1046,compulsory-elective
R535,10011,3,2013-2014,1291,elective
R536,10011,3,2013-2014,1081,elective
R537,10011,3,2013-2014,1060,elective
R538,10011,3,2013-2014,1042,elective
R539,10011,3,2014-2015,1164,compulsory
R540,10011,3,2014-2015,1234,compulsory-elective
R541,10011,3,2014-2015,1112,compulsory-elective
R542,10011,3,2014-2015,1045,compulsory-elective
R543,10011,3,2014-2015,1272,elective
R544,10011,3,2014-2015,1206,elective
R545,10011,3,2014-2015,1152,elective
R546,10011,3,2014-2015,1090,elective
R547,10011,3,2014-2015,1014,elective
R548,10011,3,2015-2016,1263,compulsory
R549,10011,3,2015-2016,1037,compulsory
R550,10011,3,2015-2016,1081,compulsory-elective
R551,10011,3,2015-2016,1080,compulsory-elective
R552,10011,3,2015-2016,1067,compulsory-elective
R553,10011,3,2015-2016,1012,compulsory-elective
R554,10011,3,2015-2016,1191,elective
R555,10011,3,2015-2016,1103,elective
R556,10011,3,2015-2016,1055,elective
R557,10011,3,2015-2016,1051,elective
R558,10011,3,2015-2016,1044,elective
R559,10011,3,2016-2017,1243,compulsory
R560,10011,3,2016-2017,1273,compulsory-elective
R561,10011,3,2016-2017,1211,compulsory-elective
R562,10011,3,2016-2017,1172,compulsory-elective
R563,10011,3,2016-2017,1134,compulsory-elective
R564,10011,3,2016-2017,1281,elective
R565,10011,3,2016-2017,1269,elective
R566,10011,3,2016-2017,1173,elective
R567,10011,3,2016-2017,1168,elective
R568,10011,3,2016-2017,1152,elective
R569,10011,3,2016-2017,1078,elective
R570,10011,3,2017-2018,1239,compulsory
R571,10011,3,2017-2018,1228,compulsory
R572,10011,3,2017-2018,1184,compulsory-elective
R573,10011,3,2017-2018,1130,compulsory-elective
R574,10011,3,2017-2018,1112,compulsory-elective
R575,10011,3,2017-2018,1028,compulsory-elective
R576,10011,3,2017-2018,1280,elective
R577,10011,3,2017-2018,1260,elective
R578,10011,3,2017-2018,1234,elective
R579,10011,3,2017-2018,1172,elective
R580,10011,3,2017-2018,1024,elective
R581,10011,3,2018-2019,1136,compulsory
R582,10011,3,2018-2019,1127,compulsory
R583,10011,3,2018-2019,1230,compulsory-elective
R584,10011,3,2018-2019,1112,compulsory-elective
R585,10011,3,2018-2019,1034,compulsory-elective
R586,10011,3,2018-2019,1271,elective
R587,10011,3,2018-2019,1195,elective
R588,10011,3,2018-2019,1179,elective
R589,10011,3,2018-2019,1174,elective
R590,10011,3,2018-2019,1092,elective
R591,10011,3,2019-2020,1264,compulsory
R592,10011,3,2019-2020,1229,compulsory
R593,10011,3,2019-2020,1261,compulsory-elective
R594,10011,3,2019-2020,1233,compulsory-elective
R595,10011,3,2019-2020,1225,compulsory-elective
R596,10011,3,2019-2020,1033,compulsory-elective
R597,10011,3,2019-2020,1223,elective
R598,10011,3,2019-2020,1078,elective
R599,10011,3,2019-2020,1050,elective
R600,10011,3,2019-2020,1036,elective
R601,10011,3,2019-2020,1014,elective
R602,10011,3,2020-2021,1275,compulsory
R603,10011,3,2020-2021,1178,compulsory-elective
R604,10011,3,2020-2021,1083,compulsory-elective
R605,10011,3,2020-2021,1014,compulsory-elective
R606,10011,3,2020-2021,1256,elective
R607,10011,3,2020-2021,1242,elective
R608,10011,3,2020-2021,1213,elective
R609,10011,3,2020-2021,1165,elective
R610,10011,3,2020-2021,1085,elective
R611,10011,3,2020-2021,1062,elective
R612,10011,3,2021-2022,1095,compulsory
R613,10011,3,2021-2022,1168,compulsory-elective
R614,10011,3,2021-2022,1025,compulsory-elective
R615,10011,3,2021-2022,1274,elective
R616,10011,3,2021-2022,1267,elective
R617,10011,3,2021-2022,1172,elective
R618,10011,3,2021-2022,1021,elective
R619,10011,3,2021-2022,1018,elective
R620,10011,3,2022-2023,1085,compulsory
R621,10011,3,2022-2023,1254,compulsory-elective
R622,10011,3,2022-2023,1230,compulsory-elective
R623,10011,3,2022-2023,1174,compulsory-elective
R624,10011,3,2022-2023,1261,elective
R625,10011,3,2022-2023,1235,elective
R626,10011,3,2022-2023,1197,elective
R627,10011,3,2022-2023,1187,elective
R628,10011,3,2022-2023,1024,elective
R629,10011,3,2022-2023,1016,elective
R630,10011,3,2023-2024,1138,compulsory
R631,10011,3,2023-2024,1115,compulsory
R632,10011,3,2023-2024,1242,compulsory-elective
R633,10011,3,2023-2024,1081,compulsory-elective
R634,10011,3,2023-2024,1043,compulsory-elective
R635,10011,3,2023-2024,1298,elective
